oid,ra,dec
ZTF21aacusce,20.404016916666667,-22.60269873333333
ZTF21abtxglm,15.187699694736844,-21.432253836842104
ZTF21aanfotm,73.59560233333333,-16.55831945
ZTF20acpmgdz,66.58268015555555,-10.099120626984128
ZTF20aayfhrr,222.81469884,-3.09101012
ZTF21abeimik,333.44849563500003,-2.36790922
ZTF20abldxlt,350.8432402675,1.8190485625
ZTF21abfdtdu,244.6684603,2.96641205
ZTF20acplqek,52.66635342173913,3.0973744999999995
ZTF21aatccky,181.9885008166667,4.991978783333333
ZTF21aaazmdv,13.530455975,5.019610175
ZTF18acydrro,185.4039991,5.76567025
ZTF21abqpcdv,354.68510656666666,8.8089724
ZTF20aauvjws,215.944115258,9.234595382000002
SN2004aq,179.61354,10.01792
ZTF21abiwyln,246.25999071818185,11.99797606363636
SN2006ev,322.74692,13.98922
ZTF21aamxwjy,264.3636796,16.8494839
ZTF20aaesypc,60.8664281909091,19.18107747272727
ZTF20absgesl,7.796487794736842,22.820347408771926
SN2002en,344.92008,24.07153
ZTF19adbmdnz,17.60033083333333,24.622834366666662
ZTF19acifefg,117.0633752777778,25.78623147777778
ZTF21aadbyyp,2.6706218,25.815987
ZTF20aayfjxt,240.3461599,26.291186683333333
ZTF20aavqcuv,166.96604558333334,26.51031925
ZTF21abhyukx,239.5826742541667,27.376094183333333
ZTF20abxgxjd,268.87631698571425,30.222242916666666
ZTF21aaschlg,256.41718016666664,30.805459466666665
SN1960P,16.54183,31.40656
ZTF21aapfnlj,181.9186992,39.94504735
ZTF20aaugqrl,219.81812745,39.94571770555556
